,DocID,TokenID,Token,Tag
130,S0022311514001640,S0022311514001640-130,temperature,O
131,S0022311514001640,S0022311514001640-131,range,O
132,S0022311514001640,S0022311514001640-132,relevant,O
133,S0022311514001640,S0022311514001640-133,for,O
134,S0022311514001640,S0022311514001640-134,this,O
135,S0022311514001640,S0022311514001640-135,study,O
136,S0022311514001640,S0022311514001640-136,the,O
137,S0022311514001640,S0022311514001640-137,vapour,B
138,S0022311514001640,S0022311514001640-138,pressure,I
139,S0022311514001640,S0022311514001640-139,of,I
140,S0022311514001640,S0022311514001640-140,carbon,U
141,S0022311514001640,S0022311514001640-141,is,O
142,S0022311514001640,S0022311514001640-142,several,O
143,S0022311514001640,S0022311514001640-143,magnitudes,O
144,S0022311514001640,S0022311514001640-144,smaller,O
145,S0022311514001640,S0022311514001640-145,than,O
146,S0022311514001640,S0022311514001640-146,that,O
147,S0022311514001640,S0022311514001640-147,of,O
148,S0022311514001640,S0022311514001640-148,the,O
149,S0022311514001640,S0022311514001640-149,dominant,O
150,S0022311514001640,S0022311514001640-150,gas,U
151,S0022311514001640,S0022311514001640-151,phases,O
152,S0022311514001640,S0022311514001640-152,above,O
153,S0022311514001640,S0022311514001640-153,SiC,U
154,S0022311514001640,S0022311514001640-154,.,O
155,S0370269304009104,S0370269304009104-0,Though,O
156,S0370269304009104,S0370269304009104-1,",",O
157,S0370269304009104,S0370269304009104-2,in,O
158,S0370269304009104,S0370269304009104-3,this,O
159,S0370269304009104,S0370269304009104-4,Letter,O
160,S0370269304009104,S0370269304009104-5,we,O
161,S0370269304009104,S0370269304009104-6,have,O
162,S0370269304009104,S0370269304009104-7,constructed,B
163,S0370269304009104,S0370269304009104-8,the,I
164,S0370269304009104,S0370269304009104-9,Born–Infeld,B
165,S0370269304009104,S0370269304009104-10,black,I
166,S0370269304009104,S0370269304009104-11,holes,L
167,S0370269304009104,S0370269304009104-12,in,I
168,S0370269304009104,S0370269304009104-13,the,I
169,S0370269304009104,S0370269304009104-14,presence,I
170,S0370269304009104,S0370269304009104-15,of,I
171,S0370269304009104,S0370269304009104-16,a,I
172,S0370269304009104,S0370269304009104-17,cosmological,I
173,S0370269304009104,S0370269304009104-18,constant,L
174,S0370269304009104,S0370269304009104-19,and,O
175,S0370269304009104,S0370269304009104-20,discussed,B
176,S0370269304009104,S0370269304009104-21,their,I
177,S0370269304009104,S0370269304009104-22,thermodynamical,I
178,S0370269304009104,S0370269304009104-23,properties,L
179,S0370269304009104,S0370269304009104-24,",",O
180,S0370269304009104,S0370269304009104-25,many,O
181,S0370269304009104,S0370269304009104-26,issues,O
182,S0370269304009104,S0370269304009104-27,however,O
183,S0370269304009104,S0370269304009104-28,still,O
184,S0370269304009104,S0370269304009104-29,remain,O
185,S0370269304009104,S0370269304009104-30,to,O
186,S0370269304009104,S0370269304009104-31,be,O
187,S0370269304009104,S0370269304009104-32,investigated,O
188,S0370269304009104,S0370269304009104-33,.,O
189,S0370269304009104,S0370269304009104-34,We,O
190,S0370269304009104,S0370269304009104-35,know,O
191,S0370269304009104,S0370269304009104-36,that,O
192,S0370269304009104,S0370269304009104-37,Reissner–Nordström,B
193,S0370269304009104,S0370269304009104-38,AdS,I
194,S0370269304009104,S0370269304009104-39,black,I
195,S0370269304009104,S0370269304009104-40,holes,L
196,S0370269304009104,S0370269304009104-41,undergo,O
197,S0370269304009104,S0370269304009104-42,Hawking–Page,B
198,S0370269304009104,S0370269304009104-43,phase,I
199,S0370269304009104,S0370269304009104-44,transition,L
200,S0370269304009104,S0370269304009104-45,.,O
201,S0370269304009104,S0370269304009104-46,This,O
202,S0370269304009104,S0370269304009104-47,transition,O
203,S0370269304009104,S0370269304009104-48,gets,O
204,S0370269304009104,S0370269304009104-49,modified,O
205,S0370269304009104,S0370269304009104-50,as,O
206,S0370269304009104,S0370269304009104-51,we,O
207,S0370269304009104,S0370269304009104-52,include,O
208,S0370269304009104,S0370269304009104-53,Born–Infeld,B
209,S0370269304009104,S0370269304009104-54,corrections,L
210,S0370269304009104,S0370269304009104-55,into,O
211,S0370269304009104,S0370269304009104-56,account,O
212,S0370269304009104,S0370269304009104-57,.,O
213,S0370269304009104,S0370269304009104-58,We,O
214,S0370269304009104,S0370269304009104-59,hope,O
215,S0370269304009104,S0370269304009104-60,to,O
216,S0370269304009104,S0370269304009104-61,carry,O
217,S0370269304009104,S0370269304009104-62,out,O
218,S0370269304009104,S0370269304009104-63,a,O
219,S0370269304009104,S0370269304009104-64,detail,O
220,S0370269304009104,S0370269304009104-65,study,O
221,S0370269304009104,S0370269304009104-66,on,O
222,S0370269304009104,S0370269304009104-67,this,O
223,S0370269304009104,S0370269304009104-68,issue,O
224,S0370269304009104,S0370269304009104-69,in,O
225,S0370269304009104,S0370269304009104-70,the,O
226,S0370269304009104,S0370269304009104-71,future,O
227,S0370269304009104,S0370269304009104-72,.,O
228,S0370269304009104,S0370269304009104-73,Furthermore,O
229,S0370269304009104,S0370269304009104-74,",",O
230,S0370269304009104,S0370269304009104-75,in,O
231,S0370269304009104,S0370269304009104-76,the,O
232,S0370269304009104,S0370269304009104-77,context,O
233,S0370269304009104,S0370269304009104-78,of,O
234,S0370269304009104,S0370269304009104-79,brane,B
235,S0370269304009104,S0370269304009104-80,world,I
236,S0370269304009104,S0370269304009104-81,cosmology,L
237,S0370269304009104,S0370269304009104-82,",",O
238,S0370269304009104,S0370269304009104-83,it,O
239,S0370269304009104,S0370269304009104-84,was,O
240,S0370269304009104,S0370269304009104-85,found,O
241,S0370269304009104,S0370269304009104-86,that,O
242,S0370269304009104,S0370269304009104-87,a,O
243,S0370269304009104,S0370269304009104-88,brane,U
244,S0370269304009104,S0370269304009104-89,moving,O
245,S0370269304009104,S0370269304009104-90,in,O
246,S0370269304009104,S0370269304009104-91,a,O
247,S0370269304009104,S0370269304009104-92,Reissner–Nordström,B
248,S0370269304009104,S0370269304009104-93,AdS,I
249,S0370269304009104,S0370269304009104-94,background,L
250,S0370269304009104,S0370269304009104-95,generates,O
251,S0370269304009104,S0370269304009104-96,non-singular,B
252,S0370269304009104,S0370269304009104-97,cosmology,L
253,S0370269304009104,S0370269304009104-98,[,O
254,S0370269304009104,S0370269304009104-99,14,O
255,S0370269304009104,S0370269304009104-100,],O
256,S0370269304009104,S0370269304009104-101,.,O
257,S0370269304009104,S0370269304009104-102,However,O
258,S0370269304009104,S0370269304009104-103,",",O
259,S0370269304009104,S0370269304009104-104,as,O
260,S0370269304009104,S0370269304009104-105,shown,O
261,S0370269304009104,S0370269304009104-106,in,O
262,S0370269304009104,S0370269304009104-107,[,O
263,S0370269304009104,S0370269304009104-108,15,O
264,S0370269304009104,S0370269304009104-109,],O
265,S0370269304009104,S0370269304009104-110,",",O
266,S0370269304009104,S0370269304009104-111,the,O
267,S0370269304009104,S0370269304009104-112,brane,U
268,S0370269304009104,S0370269304009104-113,always,O
269,S0370269304009104,S0370269304009104-114,crosses,B
270,S0370269304009104,S0370269304009104-115,the,I
271,S0370269304009104,S0370269304009104-116,inner,I
272,S0370269304009104,S0370269304009104-117,horizon,I
273,S0370269304009104,S0370269304009104-118,of,I
274,S0370269304009104,S0370269304009104-119,the,I
275,S0370269304009104,S0370269304009104-120,bulk,I
276,S0370269304009104,S0370269304009104-121,geometry,L
277,S0370269304009104,S0370269304009104-122,",",O
278,S0370269304009104,S0370269304009104-123,creating,O
279,S0370269304009104,S0370269304009104-124,an,O
280,S0370269304009104,S0370269304009104-125,instability,U
281,S0370269304009104,S0370269304009104-126,.,O
282,S0370269304009104,S0370269304009104-127,It,O
283,S0370269304009104,S0370269304009104-128,would,O
284,S0370269304009104,S0370269304009104-129,be,O
285,S0370269304009104,S0370269304009104-130,interesting,O
286,S0370269304009104,S0370269304009104-131,to,O
287,S0370269304009104,S0370269304009104-132,study,B
288,S0370269304009104,S0370269304009104-133,cosmology,U
289,S0370269304009104,S0370269304009104-134,on,I
290,S0370269304009104,S0370269304009104-135,the,I
291,S0370269304009104,S0370269304009104-136,brane,U
292,S0370269304009104,S0370269304009104-137,when,I
293,S0370269304009104,S0370269304009104-138,it,I
294,S0370269304009104,S0370269304009104-139,is,I
295,S0370269304009104,S0370269304009104-140,moving,I
296,S0370269304009104,S0370269304009104-141,in,I
297,S0370269304009104,S0370269304009104-142,the,I
298,S0370269304009104,S0370269304009104-143,charged,B
299,S0370269304009104,S0370269304009104-144,black,I
300,S0370269304009104,S0370269304009104-145,hole,L
301,S0370269304009104,S0370269304009104-146,backgrounds,L
302,S0370269304009104,S0370269304009104-147,that,O
303,S0370269304009104,S0370269304009104-148,we,O
304,S0370269304009104,S0370269304009104-149,have,O
305,S0370269304009104,S0370269304009104-150,constructed,O
306,S0370269304009104,S0370269304009104-151,.,O
307,S0370269304009104,S0370269304009104-152,Note,O
308,S0370269304009104,S0370269304009104-153,that,O
309,S0370269304009104,S0370269304009104-154,since,O
310,S0370269304009104,S0370269304009104-155,these,O
311,S0370269304009104,S0370269304009104-156,charged,B
312,S0370269304009104,S0370269304009104-157,holes,L
313,S0370269304009104,S0370269304009104-158,does,O
314,S0370269304009104,S0370269304009104-159,not,O
315,S0370269304009104,S0370269304009104-160,have,O
316,S0370269304009104,S0370269304009104-161,inner,O
317,S0370269304009104,S0370269304009104-162,horizon,O
318,S0370269304009104,S0370269304009104-163,for,O
319,S0370269304009104,S0370269304009104-164,certain,O
320,S0370269304009104,S0370269304009104-165,range,O
321,S0370269304009104,S0370269304009104-166,of,O
322,S0370269304009104,S0370269304009104-167,parameters,O
323,S0370269304009104,S0370269304009104-168,",",O
324,S0370269304009104,S0370269304009104-169,we,O
325,S0370269304009104,S0370269304009104-170,may,O
326,S0370269304009104,S0370269304009104-171,generate,B
327,S0370269304009104,S0370269304009104-172,non-singular,I
328,S0370269304009104,S0370269304009104-173,cosmology,I
329,S0370269304009104,S0370269304009104-174,without,I
330,S0370269304009104,S0370269304009104-175,creating,I
331,S0370269304009104,S0370269304009104-176,the,I
332,S0370269304009104,S0370269304009104-177,instabilities,L
333,S0370269304009104,S0370269304009104-178,that,O
334,S0370269304009104,S0370269304009104-179,we,O
335,S0370269304009104,S0370269304009104-180,have,O
336,S0370269304009104,S0370269304009104-181,just,O
337,S0370269304009104,S0370269304009104-182,mentioned,O
338,S0370269304009104,S0370269304009104-183,.,O
339,S0895611116300684,S0895611116300684-0,In,O
340,S0895611116300684,S0895611116300684-1,the,O
341,S0895611116300684,S0895611116300684-2,case,O
342,S0895611116300684,S0895611116300684-3,of,O
343,S0895611116300684,S0895611116300684-4,PSR,B
344,S0895611116300684,S0895611116300684-5,applied,I
345,S0895611116300684,S0895611116300684-6,to,I
346,S0895611116300684,S0895611116300684-7,vessels,L
347,S0895611116300684,S0895611116300684-8,",",O
348,S0895611116300684,S0895611116300684-9,preservation,O
349,S0895611116300684,S0895611116300684-10,of,O
350,S0895611116300684,S0895611116300684-11,high,O
351,S0895611116300684,S0895611116300684-12,curvature,O
352,S0895611116300684,S0895611116300684-13,and,O
353,S0895611116300684,S0895611116300684-14,branches,O
354,S0895611116300684,S0895611116300684-15,(,O
355,S0895611116300684,S0895611116300684-16,concavities,O
356,S0895611116300684,S0895611116300684-17,),O
357,S0895611116300684,S0895611116300684-18,demands,O
358,S0895611116300684,S0895611116300684-19,a,O
359,S0895611116300684,S0895611116300684-20,high,O
360,S0895611116300684,S0895611116300684-21,value,O
361,S0895611116300684,S0895611116300684-22,of,O
362,S0895611116300684,S0895611116300684-23,the,O
363,S0895611116300684,S0895611116300684-24,d,O
364,S0895611116300684,S0895611116300684-25,parameter,O
365,S0895611116300684,S0895611116300684-26,",",O
366,S0895611116300684,S0895611116300684-27,resulting,O
367,S0895611116300684,S0895611116300684-28,in,O
368,S0895611116300684,S0895611116300684-29,models,O
369,S0895611116300684,S0895611116300684-30,with,O
370,S0895611116300684,S0895611116300684-31,high,O
371,S0895611116300684,S0895611116300684-32,number,O
372,S0895611116300684,S0895611116300684-33,of,O
373,S0895611116300684,S0895611116300684-34,polygons,O
374,S0895611116300684,S0895611116300684-35,.,O
375,S0895611116300684,S0895611116300684-36,To,O
376,S0895611116300684,S0895611116300684-37,cope,O
377,S0895611116300684,S0895611116300684-38,with,O
378,S0895611116300684,S0895611116300684-39,this,O
379,S0895611116300684,S0895611116300684-40,problem,O
380,S0895611116300684,S0895611116300684-41,",",O
381,S0895611116300684,S0895611116300684-42,Wu,O
382,S0895611116300684,S0895611116300684-43,et,O
383,S0895611116300684,S0895611116300684-44,al,O
384,S0895611116300684,S0895611116300684-45,.,O
385,S0895611116300684,S0895611116300684-46,(,O
386,S0895611116300684,S0895611116300684-47,2013,O
387,S0895611116300684,S0895611116300684-48,),O
388,S0895611116300684,S0895611116300684-49,evaluates,O
389,S0895611116300684,S0895611116300684-50,a,O
390,S0895611116300684,S0895611116300684-51,variant,O
391,S0895611116300684,S0895611116300684-52,of,O
392,S0895611116300684,S0895611116300684-53,PSR,U
393,S0895611116300684,S0895611116300684-54,(,O
394,S0895611116300684,S0895611116300684-55,in,O
395,S0895611116300684,S0895611116300684-56,that,O
396,S0895611116300684,S0895611116300684-57,work,O
397,S0895611116300684,S0895611116300684-58,referred,O
398,S0895611116300684,S0895611116300684-59,to,O
399,S0895611116300684,S0895611116300684-60,as,O
400,S0895611116300684,S0895611116300684-61,scale-adaptive,U
401,S0895611116300684,S0895611116300684-62,[,O
402,S0895611116300684,S0895611116300684-63,SA,U
403,S0895611116300684,S0895611116300684-64,],O
404,S0895611116300684,S0895611116300684-65,),O
405,S0895611116300684,S0895611116300684-66,",",O
406,S0895611116300684,S0895611116300684-67,which,O
407,S0895611116300684,S0895611116300684-68,includes,O
408,S0895611116300684,S0895611116300684-69,curvature-dependent,B
409,S0895611116300684,S0895611116300684-70,polygonization,L
410,S0895611116300684,S0895611116300684-71,(,O
411,S0895611116300684,S0895611116300684-72,e.g,O
412,S0895611116300684,S0895611116300684-73,.,O
413,S0895611116300684,S0895611116300684-74,increasing/decreasing,B
414,S0895611116300684,S0895611116300684-75,the,I
415,S0895611116300684,S0895611116300684-76,size,I
416,S0895611116300684,S0895611116300684-77,of,I
417,S0895611116300684,S0895611116300684-78,triangles,I
418,S0895611116300684,S0895611116300684-79,according,I
419,S0895611116300684,S0895611116300684-80,to,I
420,S0895611116300684,S0895611116300684-81,the,I
421,S0895611116300684,S0895611116300684-82,local,I
422,S0895611116300684,S0895611116300684-83,curvature,L
423,S0895611116300684,S0895611116300684-84,),O
424,S0895611116300684,S0895611116300684-85,(,O
425,S0895611116300684,S0895611116300684-86,Wu,O
426,S0895611116300684,S0895611116300684-87,et,O
427,S0895611116300684,S0895611116300684-88,al.,O
428,S0895611116300684,S0895611116300684-89,",",O
429,S0895611116300684,S0895611116300684-90,2010,O
430,S0895611116300684,S0895611116300684-91,),O
431,S0895611116300684,S0895611116300684-92,.,O
432,S0895611116300684,S0895611116300684-93,In,O
433,S0895611116300684,S0895611116300684-94,Wu,O
434,S0895611116300684,S0895611116300684-95,et,O
435,S0895611116300684,S0895611116300684-96,al,O
436,S0895611116300684,S0895611116300684-97,.,O
437,S0895611116300684,S0895611116300684-98,(,O
438,S0895611116300684,S0895611116300684-99,2013,O
439,S0895611116300684,S0895611116300684-100,),O
440,S0895611116300684,S0895611116300684-101,",",O
441,S0895611116300684,S0895611116300684-102,other,O
442,S0895611116300684,S0895611116300684-103,methods,O
443,S0895611116300684,S0895611116300684-104,including,O
444,S0895611116300684,S0895611116300684-105,MC,U
445,S0895611116300684,S0895611116300684-106,(,O
446,S0895611116300684,S0895611116300684-107,without,O
447,S0895611116300684,S0895611116300684-108,smoothing,O
448,S0895611116300684,S0895611116300684-109,and,O
449,S0895611116300684,S0895611116300684-110,decimation,O
450,S0895611116300684,S0895611116300684-111,),O
451,S0895611116300684,S0895611116300684-112,are,O
452,S0895611116300684,S0895611116300684-113,evaluated,O
453,S0895611116300684,S0895611116300684-114,with,O
454,S0895611116300684,S0895611116300684-115,application,O
455,S0895611116300684,S0895611116300684-116,to,O
456,S0895611116300684,S0895611116300684-117,vessel,B
457,S0895611116300684,S0895611116300684-118,modeling,L
458,S0895611116300684,S0895611116300684-119,.,O
459,S0895611116300684,S0895611116300684-120,The,O
460,S0895611116300684,S0895611116300684-121,authors,O
461,S0895611116300684,S0895611116300684-122,",",O
462,S0895611116300684,S0895611116300684-123,point,O
463,S0895611116300684,S0895611116300684-124,at,O
464,S0895611116300684,S0895611116300684-125,SA,U
465,S0895611116300684,S0895611116300684-126,as,O
466,S0895611116300684,S0895611116300684-127,a,O
467,S0895611116300684,S0895611116300684-128,suitable,O
468,S0895611116300684,S0895611116300684-129,method,O
469,S0895611116300684,S0895611116300684-130,for,O
470,S0895611116300684,S0895611116300684-131,reconstruction,B
471,S0895611116300684,S0895611116300684-132,of,I
472,S0895611116300684,S0895611116300684-133,vessels,L
473,S0895611116300684,S0895611116300684-134,with,O
474,S0895611116300684,S0895611116300684-135,applications,O
475,S0895611116300684,S0895611116300684-136,to,O
476,S0895611116300684,S0895611116300684-137,surgery,B
477,S0895611116300684,S0895611116300684-138,planning,L
478,S0895611116300684,S0895611116300684-139,.,O
479,S0895611116300684,S0895611116300684-140,The,O
480,S0895611116300684,S0895611116300684-141,methods,O
481,S0895611116300684,S0895611116300684-142,evaluated,O
482,S0895611116300684,S0895611116300684-143,by,O
483,S0895611116300684,S0895611116300684-144,Wu,O
484,S0895611116300684,S0895611116300684-145,et,O
485,S0895611116300684,S0895611116300684-146,al,O
486,S0895611116300684,S0895611116300684-147,.,O
487,S0895611116300684,S0895611116300684-148,(,O
488,S0895611116300684,S0895611116300684-149,2013,O
489,S0895611116300684,S0895611116300684-150,),O
490,S0895611116300684,S0895611116300684-151,could,O
491,S0895611116300684,S0895611116300684-152,be,O
492,S0895611116300684,S0895611116300684-153,also,O
493,S0895611116300684,S0895611116300684-154,compared,O
494,S0895611116300684,S0895611116300684-155,with,O
495,S0895611116300684,S0895611116300684-156,another,O
496,S0895611116300684,S0895611116300684-157,set,O
497,S0895611116300684,S0895611116300684-158,of,O
498,S0895611116300684,S0895611116300684-159,techniques,O
499,S0895611116300684,S0895611116300684-160,(,O
500,S0895611116300684,S0895611116300684-161,known,O
501,S0895611116300684,S0895611116300684-162,as,O
502,S0895611116300684,S0895611116300684-163,model-based,B
503,S0895611116300684,S0895611116300684-164,methods,L
504,S0895611116300684,S0895611116300684-165,),O
505,S0895611116300684,S0895611116300684-166,(,O
506,S0895611116300684,S0895611116300684-167,Preim,O
507,S0895611116300684,S0895611116300684-168,and,O
508,S0895611116300684,S0895611116300684-169,Oeltze,O
509,S0895611116300684,S0895611116300684-170,",",O
510,S0895611116300684,S0895611116300684-171,2008,O
511,S0895611116300684,S0895611116300684-172,),O
512,S0895611116300684,S0895611116300684-173,",",O
513,S0895611116300684,S0895611116300684-174,widely,O
514,S0895611116300684,S0895611116300684-175,used,O
515,S0895611116300684,S0895611116300684-176,in,O
516,S0895611116300684,S0895611116300684-177,the,O
517,S0895611116300684,S0895611116300684-178,context,O
518,S0895611116300684,S0895611116300684-179,of,O
519,S0895611116300684,S0895611116300684-180,vessel,B
520,S0895611116300684,S0895611116300684-181,modeling,I
521,S0895611116300684,S0895611116300684-182,for,I
522,S0895611116300684,S0895611116300684-183,surgery,I
523,S0895611116300684,S0895611116300684-184,planning,L
524,S0895611116300684,S0895611116300684-185,.,O
525,S0010938X15002954,S0010938X15002954-0,There,O
526,S0010938X15002954,S0010938X15002954-1,have,O
527,S0010938X15002954,S0010938X15002954-2,been,O
528,S0010938X15002954,S0010938X15002954-3,relatively,O
529,S0010938X15002954,S0010938X15002954-4,few,O
530,S0010938X15002954,S0010938X15002954-5,attempts,O
531,S0010938X15002954,S0010938X15002954-6,to,O
532,S0010938X15002954,S0010938X15002954-7,observe,O
533,S0010938X15002954,S0010938X15002954-8,and,O
534,S0010938X15002954,S0010938X15002954-9,in,O
535,S0010938X15002954,S0010938X15002954-10,some,O
536,S0010938X15002954,S0010938X15002954-11,cases,O
537,S0010938X15002954,S0010938X15002954-12,extract,O
538,S0010938X15002954,S0010938X15002954-13,the,O
539,S0010938X15002954,S0010938X15002954-14,average,O
540,S0010938X15002954,S0010938X15002954-15,current,O
541,S0010938X15002954,S0010938X15002954-16,density,O
542,S0010938X15002954,S0010938X15002954-17,from,O
543,S0010938X15002954,S0010938X15002954-18,video,B
544,S0010938X15002954,S0010938X15002954-19,images,L
545,S0010938X15002954,S0010938X15002954-20,taken,O
546,S0010938X15002954,S0010938X15002954-21,of,O
547,S0010938X15002954,S0010938X15002954-22,growing,O
548,S0010938X15002954,S0010938X15002954-23,2D,B
549,S0010938X15002954,S0010938X15002954-24,pits,L
550,S0010938X15002954,S0010938X15002954-25,.,O
551,S0010938X15002954,S0010938X15002954-26,Frankel,O
552,S0010938X15002954,S0010938X15002954-27,presented,O
553,S0010938X15002954,S0010938X15002954-28,a,O
554,S0010938X15002954,S0010938X15002954-29,method,O
555,S0010938X15002954,S0010938X15002954-30,to,O
556,S0010938X15002954,S0010938X15002954-31,directly,O
557,S0010938X15002954,S0010938X15002954-32,measure,O
558,S0010938X15002954,S0010938X15002954-33,the,O
559,S0010938X15002954,S0010938X15002954-34,average,O
560,S0010938X15002954,S0010938X15002954-35,anodic,B
561,S0010938X15002954,S0010938X15002954-36,current,L
