DocID,TokenID,Token,Tag
S0022311514001640,S0022311514001640-92,carbon,
S0022311514001640,S0022311514001640-93,.,
S0022311514001640,S0022311514001640-94,The,
S0022311514001640,S0022311514001640-95,partial,
S0022311514001640,S0022311514001640-96,pressure,
S0022311514001640,S0022311514001640-97,in,
S0022311514001640,S0022311514001640-98,thermodynamic,
S0022311514001640,S0022311514001640-99,equilibrium,
S0022311514001640,S0022311514001640-100,of,
S0022311514001640,S0022311514001640-101,gaseous,
S0022311514001640,S0022311514001640-102,carbon,
S0022311514001640,S0022311514001640-103,forming,
S0022311514001640,S0022311514001640-104,above,
S0022311514001640,S0022311514001640-105,graphite,
S0022311514001640,S0022311514001640-106,was,
S0022311514001640,S0022311514001640-107,calculated,
S0022311514001640,S0022311514001640-108,using,
S0022311514001640,S0022311514001640-109,data,
S0022311514001640,S0022311514001640-110,taken,
S0022311514001640,S0022311514001640-111,from,
S0022311514001640,S0022311514001640-112,JANAF,
S0022311514001640,S0022311514001640-113,tables,
S0022311514001640,S0022311514001640-114,and,
S0022311514001640,S0022311514001640-115,added,
S0022311514001640,S0022311514001640-116,to,
S0022311514001640,S0022311514001640-117,Fig,
S0022311514001640,S0022311514001640-118,.,
S0022311514001640,S0022311514001640-119,1,
S0022311514001640,S0022311514001640-120,[,
S0022311514001640,S0022311514001640-121,25,
S0022311514001640,S0022311514001640-122,],
S0022311514001640,S0022311514001640-123,",",
S0022311514001640,S0022311514001640-124,which,
S0022311514001640,S0022311514001640-125,showed,
S0022311514001640,S0022311514001640-126,that,
S0022311514001640,S0022311514001640-127,in,
S0022311514001640,S0022311514001640-128,the,
S0022311514001640,S0022311514001640-129,whole,
S0022311514001640,S0022311514001640-130,temperature,
S0022311514001640,S0022311514001640-131,range,
S0022311514001640,S0022311514001640-132,relevant,
S0022311514001640,S0022311514001640-133,for,
S0022311514001640,S0022311514001640-134,this,
S0022311514001640,S0022311514001640-135,study,
S0022311514001640,S0022311514001640-136,the,
S0022311514001640,S0022311514001640-137,vapour,
S0022311514001640,S0022311514001640-138,pressure,
S0022311514001640,S0022311514001640-139,of,
S0022311514001640,S0022311514001640-140,carbon,
S0022311514001640,S0022311514001640-141,is,
S0022311514001640,S0022311514001640-142,several,
S0022311514001640,S0022311514001640-143,magnitudes,
S0022311514001640,S0022311514001640-144,smaller,
S0022311514001640,S0022311514001640-145,than,
S0022311514001640,S0022311514001640-146,that,
S0022311514001640,S0022311514001640-147,of,
S0022311514001640,S0022311514001640-148,the,
S0022311514001640,S0022311514001640-149,dominant,
S0022311514001640,S0022311514001640-150,gas,
S0022311514001640,S0022311514001640-151,phases,
S0022311514001640,S0022311514001640-152,above,
S0022311514001640,S0022311514001640-153,SiC,
S0022311514001640,S0022311514001640-154,.,
S0370269304009104,S0370269304009104-0,Though,
S0370269304009104,S0370269304009104-1,",",
S0370269304009104,S0370269304009104-2,in,
S0370269304009104,S0370269304009104-3,this,
S0370269304009104,S0370269304009104-4,Letter,
S0370269304009104,S0370269304009104-5,we,
S0370269304009104,S0370269304009104-6,have,
S0370269304009104,S0370269304009104-7,constructed,
S0370269304009104,S0370269304009104-8,the,
S0370269304009104,S0370269304009104-9,Born–Infeld,
S0370269304009104,S0370269304009104-10,black,
S0370269304009104,S0370269304009104-11,holes,
S0370269304009104,S0370269304009104-12,in,
S0370269304009104,S0370269304009104-13,the,
S0370269304009104,S0370269304009104-14,presence,
S0370269304009104,S0370269304009104-15,of,
S0370269304009104,S0370269304009104-16,a,
S0370269304009104,S0370269304009104-17,cosmological,
S0370269304009104,S0370269304009104-18,constant,
S0370269304009104,S0370269304009104-19,and,
S0370269304009104,S0370269304009104-20,discussed,
S0370269304009104,S0370269304009104-21,their,
S0370269304009104,S0370269304009104-22,thermodynamical,
S0370269304009104,S0370269304009104-23,properties,
S0370269304009104,S0370269304009104-24,",",
S0370269304009104,S0370269304009104-25,many,
S0370269304009104,S0370269304009104-26,issues,
S0370269304009104,S0370269304009104-27,however,
S0370269304009104,S0370269304009104-28,still,
S0370269304009104,S0370269304009104-29,remain,
S0370269304009104,S0370269304009104-30,to,
S0370269304009104,S0370269304009104-31,be,
S0370269304009104,S0370269304009104-32,investigated,
S0370269304009104,S0370269304009104-33,.,
S0370269304009104,S0370269304009104-34,We,
S0370269304009104,S0370269304009104-35,know,
S0370269304009104,S0370269304009104-36,that,
S0370269304009104,S0370269304009104-37,Reissner–Nordström,
S0370269304009104,S0370269304009104-38,AdS,
S0370269304009104,S0370269304009104-39,black,
S0370269304009104,S0370269304009104-40,holes,
S0370269304009104,S0370269304009104-41,undergo,
S0370269304009104,S0370269304009104-42,Hawking–Page,
S0370269304009104,S0370269304009104-43,phase,
S0370269304009104,S0370269304009104-44,transition,
S0370269304009104,S0370269304009104-45,.,
S0370269304009104,S0370269304009104-46,This,
S0370269304009104,S0370269304009104-47,transition,
S0370269304009104,S0370269304009104-48,gets,
S0370269304009104,S0370269304009104-49,modified,
S0370269304009104,S0370269304009104-50,as,
S0370269304009104,S0370269304009104-51,we,
S0370269304009104,S0370269304009104-52,include,
S0370269304009104,S0370269304009104-53,Born–Infeld,
S0370269304009104,S0370269304009104-54,corrections,
S0370269304009104,S0370269304009104-55,into,
S0370269304009104,S0370269304009104-56,account,
S0370269304009104,S0370269304009104-57,.,
S0370269304009104,S0370269304009104-58,We,
S0370269304009104,S0370269304009104-59,hope,
S0370269304009104,S0370269304009104-60,to,
S0370269304009104,S0370269304009104-61,carry,
S0370269304009104,S0370269304009104-62,out,
S0370269304009104,S0370269304009104-63,a,
S0370269304009104,S0370269304009104-64,detail,
S0370269304009104,S0370269304009104-65,study,
S0370269304009104,S0370269304009104-66,on,
S0370269304009104,S0370269304009104-67,this,
S0370269304009104,S0370269304009104-68,issue,
S0370269304009104,S0370269304009104-69,in,
S0370269304009104,S0370269304009104-70,the,
S0370269304009104,S0370269304009104-71,future,
S0370269304009104,S0370269304009104-72,.,
S0370269304009104,S0370269304009104-73,Furthermore,
S0370269304009104,S0370269304009104-74,",",
S0370269304009104,S0370269304009104-75,in,
S0370269304009104,S0370269304009104-76,the,
S0370269304009104,S0370269304009104-77,context,
S0370269304009104,S0370269304009104-78,of,
S0370269304009104,S0370269304009104-79,brane,
S0370269304009104,S0370269304009104-80,world,
S0370269304009104,S0370269304009104-81,cosmology,
S0370269304009104,S0370269304009104-82,",",
S0370269304009104,S0370269304009104-83,it,
S0370269304009104,S0370269304009104-84,was,
S0370269304009104,S0370269304009104-85,found,
S0370269304009104,S0370269304009104-86,that,
S0370269304009104,S0370269304009104-87,a,
S0370269304009104,S0370269304009104-88,brane,
S0370269304009104,S0370269304009104-89,moving,
S0370269304009104,S0370269304009104-90,in,
S0370269304009104,S0370269304009104-91,a,
S0370269304009104,S0370269304009104-92,Reissner–Nordström,
S0370269304009104,S0370269304009104-93,AdS,
S0370269304009104,S0370269304009104-94,background,
S0370269304009104,S0370269304009104-95,generates,
S0370269304009104,S0370269304009104-96,non-singular,
S0370269304009104,S0370269304009104-97,cosmology,
S0370269304009104,S0370269304009104-98,[,
S0370269304009104,S0370269304009104-99,14,
S0370269304009104,S0370269304009104-100,],
S0370269304009104,S0370269304009104-101,.,
S0370269304009104,S0370269304009104-102,However,
S0370269304009104,S0370269304009104-103,",",
S0370269304009104,S0370269304009104-104,as,
S0370269304009104,S0370269304009104-105,shown,
S0370269304009104,S0370269304009104-106,in,
S0370269304009104,S0370269304009104-107,[,
S0370269304009104,S0370269304009104-108,15,
S0370269304009104,S0370269304009104-109,],
S0370269304009104,S0370269304009104-110,",",
S0370269304009104,S0370269304009104-111,the,
S0370269304009104,S0370269304009104-112,brane,
S0370269304009104,S0370269304009104-113,always,
S0370269304009104,S0370269304009104-114,crosses,
S0370269304009104,S0370269304009104-115,the,
S0370269304009104,S0370269304009104-116,inner,
S0370269304009104,S0370269304009104-117,horizon,
S0370269304009104,S0370269304009104-118,of,
S0370269304009104,S0370269304009104-119,the,
S0370269304009104,S0370269304009104-120,bulk,
S0370269304009104,S0370269304009104-121,geometry,
S0370269304009104,S0370269304009104-122,",",
S0370269304009104,S0370269304009104-123,creating,
S0370269304009104,S0370269304009104-124,an,
S0370269304009104,S0370269304009104-125,instability,
S0370269304009104,S0370269304009104-126,.,
S0370269304009104,S0370269304009104-127,It,
S0370269304009104,S0370269304009104-128,would,
S0370269304009104,S0370269304009104-129,be,
S0370269304009104,S0370269304009104-130,interesting,
S0370269304009104,S0370269304009104-131,to,
S0370269304009104,S0370269304009104-132,study,
S0370269304009104,S0370269304009104-133,cosmology,
S0370269304009104,S0370269304009104-134,on,
S0370269304009104,S0370269304009104-135,the,
S0370269304009104,S0370269304009104-136,brane,
S0370269304009104,S0370269304009104-137,when,
S0370269304009104,S0370269304009104-138,it,
S0370269304009104,S0370269304009104-139,is,
S0370269304009104,S0370269304009104-140,moving,
S0370269304009104,S0370269304009104-141,in,
S0370269304009104,S0370269304009104-142,the,
S0370269304009104,S0370269304009104-143,charged,
S0370269304009104,S0370269304009104-144,black,
S0370269304009104,S0370269304009104-145,hole,
S0370269304009104,S0370269304009104-146,backgrounds,
S0370269304009104,S0370269304009104-147,that,
S0370269304009104,S0370269304009104-148,we,
S0370269304009104,S0370269304009104-149,have,
S0370269304009104,S0370269304009104-150,constructed,
S0370269304009104,S0370269304009104-151,.,
S0370269304009104,S0370269304009104-152,Note,
S0370269304009104,S0370269304009104-153,that,
S0370269304009104,S0370269304009104-154,since,
S0370269304009104,S0370269304009104-155,these,
S0370269304009104,S0370269304009104-156,charged,
S0370269304009104,S0370269304009104-157,holes,
S0370269304009104,S0370269304009104-158,does,
S0370269304009104,S0370269304009104-159,not,
S0370269304009104,S0370269304009104-160,have,
S0370269304009104,S0370269304009104-161,inner,
S0370269304009104,S0370269304009104-162,horizon,
S0370269304009104,S0370269304009104-163,for,
S0370269304009104,S0370269304009104-164,certain,
S0370269304009104,S0370269304009104-165,range,
S0370269304009104,S0370269304009104-166,of,
S0370269304009104,S0370269304009104-167,parameters,
S0370269304009104,S0370269304009104-168,",",
S0370269304009104,S0370269304009104-169,we,
S0370269304009104,S0370269304009104-170,may,
S0370269304009104,S0370269304009104-171,generate,
S0370269304009104,S0370269304009104-172,non-singular,
S0370269304009104,S0370269304009104-173,cosmology,
S0370269304009104,S0370269304009104-174,without,
S0370269304009104,S0370269304009104-175,creating,
S0370269304009104,S0370269304009104-176,the,
S0370269304009104,S0370269304009104-177,instabilities,
S0370269304009104,S0370269304009104-178,that,
S0370269304009104,S0370269304009104-179,we,
S0370269304009104,S0370269304009104-180,have,
S0370269304009104,S0370269304009104-181,just,
S0370269304009104,S0370269304009104-182,mentioned,
S0370269304009104,S0370269304009104-183,.,
S0895611116300684,S0895611116300684-0,In,
S0895611116300684,S0895611116300684-1,the,
S0895611116300684,S0895611116300684-2,case,
S0895611116300684,S0895611116300684-3,of,
S0895611116300684,S0895611116300684-4,PSR,
S0895611116300684,S0895611116300684-5,applied,
S0895611116300684,S0895611116300684-6,to,
S0895611116300684,S0895611116300684-7,vessels,
S0895611116300684,S0895611116300684-8,",",
S0895611116300684,S0895611116300684-9,preservation,
S0895611116300684,S0895611116300684-10,of,
S0895611116300684,S0895611116300684-11,high,
S0895611116300684,S0895611116300684-12,curvature,
S0895611116300684,S0895611116300684-13,and,
S0895611116300684,S0895611116300684-14,branches,
S0895611116300684,S0895611116300684-15,(,
S0895611116300684,S0895611116300684-16,concavities,
S0895611116300684,S0895611116300684-17,),
S0895611116300684,S0895611116300684-18,demands,
S0895611116300684,S0895611116300684-19,a,
S0895611116300684,S0895611116300684-20,high,
S0895611116300684,S0895611116300684-21,value,
S0895611116300684,S0895611116300684-22,of,
S0895611116300684,S0895611116300684-23,the,
S0895611116300684,S0895611116300684-24,d,
S0895611116300684,S0895611116300684-25,parameter,
S0895611116300684,S0895611116300684-26,",",
S0895611116300684,S0895611116300684-27,resulting,
S0895611116300684,S0895611116300684-28,in,
S0895611116300684,S0895611116300684-29,models,
S0895611116300684,S0895611116300684-30,with,
S0895611116300684,S0895611116300684-31,high,
S0895611116300684,S0895611116300684-32,number,
S0895611116300684,S0895611116300684-33,of,
S0895611116300684,S0895611116300684-34,polygons,
S0895611116300684,S0895611116300684-35,.,
S0895611116300684,S0895611116300684-36,To,
S0895611116300684,S0895611116300684-37,cope,
S0895611116300684,S0895611116300684-38,with,
S0895611116300684,S0895611116300684-39,this,
S0895611116300684,S0895611116300684-40,problem,
S0895611116300684,S0895611116300684-41,",",
S0895611116300684,S0895611116300684-42,Wu,
S0895611116300684,S0895611116300684-43,et,
S0895611116300684,S0895611116300684-44,al,
S0895611116300684,S0895611116300684-45,.,
S0895611116300684,S0895611116300684-46,(,
S0895611116300684,S0895611116300684-47,2013,
S0895611116300684,S0895611116300684-48,),
S0895611116300684,S0895611116300684-49,evaluates,
S0895611116300684,S0895611116300684-50,a,
S0895611116300684,S0895611116300684-51,variant,
S0895611116300684,S0895611116300684-52,of,
S0895611116300684,S0895611116300684-53,PSR,
S0895611116300684,S0895611116300684-54,(,
S0895611116300684,S0895611116300684-55,in,
S0895611116300684,S0895611116300684-56,that,
S0895611116300684,S0895611116300684-57,work,
S0895611116300684,S0895611116300684-58,referred,
S0895611116300684,S0895611116300684-59,to,
S0895611116300684,S0895611116300684-60,as,
S0895611116300684,S0895611116300684-61,scale-adaptive,
S0895611116300684,S0895611116300684-62,[,
S0895611116300684,S0895611116300684-63,SA,
S0895611116300684,S0895611116300684-64,],
S0895611116300684,S0895611116300684-65,),
S0895611116300684,S0895611116300684-66,",",
S0895611116300684,S0895611116300684-67,which,
S0895611116300684,S0895611116300684-68,includes,
S0895611116300684,S0895611116300684-69,curvature-dependent,
S0895611116300684,S0895611116300684-70,polygonization,
S0895611116300684,S0895611116300684-71,(,
S0895611116300684,S0895611116300684-72,e.g,
S0895611116300684,S0895611116300684-73,.,
S0895611116300684,S0895611116300684-74,increasing/decreasing,
S0895611116300684,S0895611116300684-75,the,
S0895611116300684,S0895611116300684-76,size,
S0895611116300684,S0895611116300684-77,of,
S0895611116300684,S0895611116300684-78,triangles,
S0895611116300684,S0895611116300684-79,according,
S0895611116300684,S0895611116300684-80,to,
S0895611116300684,S0895611116300684-81,the,
S0895611116300684,S0895611116300684-82,local,
S0895611116300684,S0895611116300684-83,curvature,
S0895611116300684,S0895611116300684-84,),
S0895611116300684,S0895611116300684-85,(,
S0895611116300684,S0895611116300684-86,Wu,
S0895611116300684,S0895611116300684-87,et,
S0895611116300684,S0895611116300684-88,al.,
S0895611116300684,S0895611116300684-89,",",
S0895611116300684,S0895611116300684-90,2010,
S0895611116300684,S0895611116300684-91,),
S0895611116300684,S0895611116300684-92,.,
S0895611116300684,S0895611116300684-93,In,
S0895611116300684,S0895611116300684-94,Wu,
S0895611116300684,S0895611116300684-95,et,
S0895611116300684,S0895611116300684-96,al,
S0895611116300684,S0895611116300684-97,.,
S0895611116300684,S0895611116300684-98,(,
S0895611116300684,S0895611116300684-99,2013,
S0895611116300684,S0895611116300684-100,),
S0895611116300684,S0895611116300684-101,",",
S0895611116300684,S0895611116300684-102,other,
S0895611116300684,S0895611116300684-103,methods,
S0895611116300684,S0895611116300684-104,including,
S0895611116300684,S0895611116300684-105,MC,
S0895611116300684,S0895611116300684-106,(,
S0895611116300684,S0895611116300684-107,without,
S0895611116300684,S0895611116300684-108,smoothing,
S0895611116300684,S0895611116300684-109,and,
S0895611116300684,S0895611116300684-110,decimation,
S0895611116300684,S0895611116300684-111,),
S0895611116300684,S0895611116300684-112,are,
S0895611116300684,S0895611116300684-113,evaluated,
S0895611116300684,S0895611116300684-114,with,
S0895611116300684,S0895611116300684-115,application,
S0895611116300684,S0895611116300684-116,to,
S0895611116300684,S0895611116300684-117,vessel,
S0895611116300684,S0895611116300684-118,modeling,
S0895611116300684,S0895611116300684-119,.,
S0895611116300684,S0895611116300684-120,The,
S0895611116300684,S0895611116300684-121,authors,
S0895611116300684,S0895611116300684-122,",",
S0895611116300684,S0895611116300684-123,point,
S0895611116300684,S0895611116300684-124,at,
S0895611116300684,S0895611116300684-125,SA,
S0895611116300684,S0895611116300684-126,as,
S0895611116300684,S0895611116300684-127,a,
S0895611116300684,S0895611116300684-128,suitable,
S0895611116300684,S0895611116300684-129,method,
S0895611116300684,S0895611116300684-130,for,
S0895611116300684,S0895611116300684-131,reconstruction,
S0895611116300684,S0895611116300684-132,of,
S0895611116300684,S0895611116300684-133,vessels,
S0895611116300684,S0895611116300684-134,with,
S0895611116300684,S0895611116300684-135,applications,
S0895611116300684,S0895611116300684-136,to,
S0895611116300684,S0895611116300684-137,surgery,
S0895611116300684,S0895611116300684-138,planning,
S0895611116300684,S0895611116300684-139,.,
S0895611116300684,S0895611116300684-140,The,
S0895611116300684,S0895611116300684-141,methods,
S0895611116300684,S0895611116300684-142,evaluated,
S0895611116300684,S0895611116300684-143,by,
S0895611116300684,S0895611116300684-144,Wu,
S0895611116300684,S0895611116300684-145,et,
S0895611116300684,S0895611116300684-146,al,
S0895611116300684,S0895611116300684-147,.,
S0895611116300684,S0895611116300684-148,(,
S0895611116300684,S0895611116300684-149,2013,
S0895611116300684,S0895611116300684-150,),
S0895611116300684,S0895611116300684-151,could,
S0895611116300684,S0895611116300684-152,be,
S0895611116300684,S0895611116300684-153,also,
S0895611116300684,S0895611116300684-154,compared,
S0895611116300684,S0895611116300684-155,with,
S0895611116300684,S0895611116300684-156,another,
S0895611116300684,S0895611116300684-157,set,
S0895611116300684,S0895611116300684-158,of,
S0895611116300684,S0895611116300684-159,techniques,
S0895611116300684,S0895611116300684-160,(,
S0895611116300684,S0895611116300684-161,known,
S0895611116300684,S0895611116300684-162,as,
S0895611116300684,S0895611116300684-163,model-based,
S0895611116300684,S0895611116300684-164,methods,
S0895611116300684,S0895611116300684-165,),
S0895611116300684,S0895611116300684-166,(,
S0895611116300684,S0895611116300684-167,Preim,
S0895611116300684,S0895611116300684-168,and,
S0895611116300684,S0895611116300684-169,Oeltze,
S0895611116300684,S0895611116300684-170,",",
S0895611116300684,S0895611116300684-171,2008,
S0895611116300684,S0895611116300684-172,),
S0895611116300684,S0895611116300684-173,",",
S0895611116300684,S0895611116300684-174,widely,
S0895611116300684,S0895611116300684-175,used,
S0895611116300684,S0895611116300684-176,in,
S0895611116300684,S0895611116300684-177,the,
S0895611116300684,S0895611116300684-178,context,
S0895611116300684,S0895611116300684-179,of,
S0895611116300684,S0895611116300684-180,vessel,
S0895611116300684,S0895611116300684-181,modeling,
S0895611116300684,S0895611116300684-182,for,
S0895611116300684,S0895611116300684-183,surgery,
S0895611116300684,S0895611116300684-184,planning,
S0895611116300684,S0895611116300684-185,.,
S0010938X15002954,S0010938X15002954-0,There,
S0010938X15002954,S0010938X15002954-1,have,
S0010938X15002954,S0010938X15002954-2,been,
S0010938X15002954,S0010938X15002954-3,relatively,
S0010938X15002954,S0010938X15002954-4,few,
S0010938X15002954,S0010938X15002954-5,attempts,
S0010938X15002954,S0010938X15002954-6,to,
S0010938X15002954,S0010938X15002954-7,observe,
S0010938X15002954,S0010938X15002954-8,and,
S0010938X15002954,S0010938X15002954-9,in,
S0010938X15002954,S0010938X15002954-10,some,
S0010938X15002954,S0010938X15002954-11,cases,
S0010938X15002954,S0010938X15002954-12,extract,
S0010938X15002954,S0010938X15002954-13,the,
S0010938X15002954,S0010938X15002954-14,average,
S0010938X15002954,S0010938X15002954-15,current,
S0010938X15002954,S0010938X15002954-16,density,
S0010938X15002954,S0010938X15002954-17,from,
S0010938X15002954,S0010938X15002954-18,video,
S0010938X15002954,S0010938X15002954-19,images,
S0010938X15002954,S0010938X15002954-20,taken,
S0010938X15002954,S0010938X15002954-21,of,
S0010938X15002954,S0010938X15002954-22,growing,
S0010938X15002954,S0010938X15002954-23,2D,
S0010938X15002954,S0010938X15002954-24,pits,
S0010938X15002954,S0010938X15002954-25,.,
S0010938X15002954,S0010938X15002954-26,Frankel,
S0010938X15002954,S0010938X15002954-27,presented,
S0010938X15002954,S0010938X15002954-28,a,
S0010938X15002954,S0010938X15002954-29,method,
S0010938X15002954,S0010938X15002954-30,to,
S0010938X15002954,S0010938X15002954-31,directly,
S0010938X15002954,S0010938X15002954-32,measure,
S0010938X15002954,S0010938X15002954-33,the,
S0010938X15002954,S0010938X15002954-34,average,
S0010938X15002954,S0010938X15002954-35,anodic,
S0010938X15002954,S0010938X15002954-36,current,
S0010938X15002954,S0010938X15002954-37,density,
S0010938X15002954,S0010938X15002954-38,from,
S0010938X15002954,S0010938X15002954-39,the,
S0010938X15002954,S0010938X15002954-40,growing,
S0010938X15002954,S0010938X15002954-41,pit,
S0010938X15002954,S0010938X15002954-42,boundary,
S0010938X15002954,S0010938X15002954-43,velocity,
S0010938X15002954,S0010938X15002954-44,in,
S0010938X15002954,S0010938X15002954-45,Al,
S0010938X15002954,S0010938X15002954-46,[,
S0010938X15002954,S0010938X15002954-47,33,
S0010938X15002954,S0010938X15002954-48,],
S0010938X15002954,S0010938X15002954-49,",",
S0010938X15002954,S0010938X15002954-50,an,
S0010938X15002954,S0010938X15002954-51,Al,
S0010938X15002954,S0010938X15002954-52,alloy,
S0010938X15002954,S0010938X15002954-53,[,
S0010938X15002954,S0010938X15002954-54,34,
S0010938X15002954,S0010938X15002954-55,],
S0010938X15002954,S0010938X15002954-56,and,
S0010938X15002954,S0010938X15002954-57,Ni–Fe,
S0010938X15002954,S0010938X15002954-58,[,
S0010938X15002954,S0010938X15002954-59,35,
S0010938X15002954,S0010938X15002954-60,],
S0010938X15002954,S0010938X15002954-61,thin,
S0010938X15002954,S0010938X15002954-62,films,
S0010938X15002954,S0010938X15002954-63,.,
S0010938X15002954,S0010938X15002954-64,Subsequently,
S0010938X15002954,S0010938X15002954-65,",",
S0010938X15002954,S0010938X15002954-66,Ryan,
S0010938X15002954,S0010938X15002954-67,et,
S0010938X15002954,S0010938X15002954-68,al,
S0010938X15002954,S0010938X15002954-69,.,
S0010938X15002954,S0010938X15002954-70,[,
S0010938X15002954,S0010938X15002954-71,"27,36",
S0010938X15002954,S0010938X15002954-72,],
S0010938X15002954,S0010938X15002954-73,determined,
S0010938X15002954,S0010938X15002954-74,the,
S0010938X15002954,S0010938X15002954-75,anodic,
S0010938X15002954,S0010938X15002954-76,current,
S0010938X15002954,S0010938X15002954-77,density,
S0010938X15002954,S0010938X15002954-78,in,
S0010938X15002954,S0010938X15002954-79,pits,
S0010938X15002954,S0010938X15002954-80,propagating,
S0010938X15002954,S0010938X15002954-81,as,
S0010938X15002954,S0010938X15002954-82,2D,
S0010938X15002954,S0010938X15002954-83,disks,
S0010938X15002954,S0010938X15002954-84,in,
S0010938X15002954,S0010938X15002954-85,stainless,
S0010938X15002954,S0010938X15002954-86,steel,
S0010938X15002954,S0010938X15002954-87,thin,
S0010938X15002954,S0010938X15002954-88,films,
S0010938X15002954,S0010938X15002954-89,by,
S0010938X15002954,S0010938X15002954-90,measuring,
S0010938X15002954,S0010938X15002954-91,the,
S0010938X15002954,S0010938X15002954-92,pit,
S0010938X15002954,S0010938X15002954-93,edge,
S0010938X15002954,S0010938X15002954-94,movement,
S0010938X15002954,S0010938X15002954-95,velocity,
S0010938X15002954,S0010938X15002954-96,.,
S0010938X15002954,S0010938X15002954-97,Ernst,
S0010938X15002954,S0010938X15002954-98,and,
S0010938X15002954,S0010938X15002954-99,Newman,
S0010938X15002954,S0010938X15002954-100,[,
S0010938X15002954,S0010938X15002954-101,"11,12,37",
S0010938X15002954,S0010938X15002954-102,],
S0010938X15002954,S0010938X15002954-103,studied,
S0010938X15002954,S0010938X15002954-104,stability,
S0010938X15002954,S0010938X15002954-105,of,
S0010938X15002954,S0010938X15002954-106,pit,
S0010938X15002954,S0010938X15002954-107,growth,
